"","Bacteria","Phage","Status"
"127","T21_24","P2T3_C-F-_2",0
"128","T21_25","P2T3_C-F-_2",0
"129","T3_2","P2T3_C-F-_1",1
"130","T3_4","P2T3_C-F-_1",1
"131","T3_6","P2T3_C-F-_1",1
"132","T3_7","P2T3_C-F-_1",1
"133","T3_8","P2T3_C-F-_1",1
"134","T3_10","P2T3_C-F-_1",1
"135","T3_11","P2T3_C-F-_1",1
"136","T3_12","P2T3_C-F-_1",1
"137","T3_13","P2T3_C-F-_1",1
"138","T3_9","P2T3_C-F-_1",0
"139","T3_3","P2T3_C-F-_1",1
"140","T3_5","P2T3_C-F-_1",1
"141","T3_1","P2T3_C-F-_1",0
"142","T9_7","P2T3_C-F-_1",0
"143","T9_3","P2T3_C-F-_1",0
"144","T6_1","P2T3_C-F-_1",0
"145","T6_2","P2T3_C-F-_1",0
"146","T6_5","P2T3_C-F-_1",0
"147","T6_6","P2T3_C-F-_1",0
"148","T6_8","P2T3_C-F-_1",0
"149","T6_10","P2T3_C-F-_1",0
"150","T6_12","P2T3_C-F-_1",0
"151","T9_9","P2T3_C-F-_1",0
"152","T6_3","P2T3_C-F-_1",0
"153","T6_4","P2T3_C-F-_1",0
"154","T6_7","P2T3_C-F-_1",0
"155","T6_9","P2T3_C-F-_1",0
"156","T6_11","P2T3_C-F-_1",0
"157","T6_13","P2T3_C-F-_1",0
"158","T9_1","P2T3_C-F-_1",0
"159","T9_2","P2T3_C-F-_1",0
"160","T9_4","P2T3_C-F-_1",0
"161","T9_5","P2T3_C-F-_1",0
"162","T9_6","P2T3_C-F-_1",0
"163","T9_8","P2T3_C-F-_1",0
"164","T9_10","P2T3_C-F-_1",0
"165","T9_11","P2T3_C-F-_1",0
"166","T9_12","P2T3_C-F-_1",0
"167","T9_13","P2T3_C-F-_1",0
"168","T12_9","P2T3_C-F-_1",0
"169","T12_10","P2T3_C-F-_1",0
"170","T12_2","P2T3_C-F-_1",0
"171","T12_3","P2T3_C-F-_1",0
"172","T12_5","P2T3_C-F-_1",0
"173","T12_6","P2T3_C-F-_1",0
"174","T12_7","P2T3_C-F-_1",0
"175","T12_8","P2T3_C-F-_1",0
"176","T12_12","P2T3_C-F-_1",0
"177","T12_13","P2T3_C-F-_1",0
"178","T12_4","P2T3_C-F-_1",0
"179","T12_1","P2T3_C-F-_1",0
"180","T15_18","P2T3_C-F-_1",0
"181","T15_9","P2T3_C-F-_1",0
"182","T15_13","P2T3_C-F-_1",0
"183","T15_21","P2T3_C-F-_1",0
"184","T15_8","P2T3_C-F-_1",0
"185","T15_20","P2T3_C-F-_1",0
"186","T15_5","P2T3_C-F-_1",0
"187","T15_16","P2T3_C-F-_1",0
"188","T15_4","P2T3_C-F-_1",0
"189","T15_12","P2T3_C-F-_1",0
"190","T15_22","P2T3_C-F-_1",0
"191","T15_25","P2T3_C-F-_1",0
"192","T21_5","P2T3_C-F-_1",0
"193","T15_1","P2T3_C-F-_1",0
"194","T15_2","P2T3_C-F-_1",0
"195","T15_10","P2T3_C-F-_1",0
"196","T15_11","P2T3_C-F-_1",0
"197","T15_19","P2T3_C-F-_1",0
"198","T15_23","P2T3_C-F-_1",0
"199","T15_24","P2T3_C-F-_1",0
"200","T15_6","P2T3_C-F-_1",0
"201","T21_2","P2T3_C-F-_1",0
"202","T15_15","P2T3_C-F-_1",0
"203","T15_3","P2T3_C-F-_1",0
"204","T15_14","P2T3_C-F-_1",0
"205","T18_9","P2T3_C-F-_1",0
"206","T18_17","P2T3_C-F-_1",0
"207","T18_19","P2T3_C-F-_1",0
"208","T18_25","P2T3_C-F-_1",0
"209","T18_21","P2T3_C-F-_1",0
"210","T18_22","P2T3_C-F-_1",0
"211","T15_7","P2T3_C-F-_1",0
"212","T18_2","P2T3_C-F-_1",0
"213","T18_3","P2T3_C-F-_1",0
"214","T18_4","P2T3_C-F-_1",0
"215","T18_6","P2T3_C-F-_1",0
"216","T18_7","P2T3_C-F-_1",0
"217","T18_15","P2T3_C-F-_1",0
"218","T18_1","P2T3_C-F-_1",0
"219","T18_24","P2T3_C-F-_1",0
"220","T18_11","P2T3_C-F-_1",0
"221","T18_12","P2T3_C-F-_1",0
"222","T18_16","P2T3_C-F-_1",0
"223","T18_18","P2T3_C-F-_1",0
"224","T18_8","P2T3_C-F-_1",0
"225","T18_13","P2T3_C-F-_1",0
"226","T18_23","P2T3_C-F-_1",0
"227","T18_10","P2T3_C-F-_1",0
"228","T18_20","P2T3_C-F-_1",0
"229","T18_26","P2T3_C-F-_1",0
"230","T18_14","P2T3_C-F-_1",0
"231","T12_11","P2T3_C-F-_1",0
"232","T15_17","P2T3_C-F-_1",0
"233","T18_5","P2T3_C-F-_1",0
"234","T21_1","P2T3_C-F-_1",0
"235","T21_3","P2T3_C-F-_1",0
"236","T21_4","P2T3_C-F-_1",0
"237","T21_6","P2T3_C-F-_1",0
"238","T21_7","P2T3_C-F-_1",0
"239","T21_8","P2T3_C-F-_1",0
"240","T21_9","P2T3_C-F-_1",0
"241","T21_10","P2T3_C-F-_1",0
"242","T21_11","P2T3_C-F-_1",0
"243","T21_12","P2T3_C-F-_1",0
"244","T21_13","P2T3_C-F-_1",0
"245","T21_14","P2T3_C-F-_1",0
"246","T21_15","P2T3_C-F-_1",0
"247","T21_16","P2T3_C-F-_1",0
"248","T21_17","P2T3_C-F-_1",0
"249","T21_18","P2T3_C-F-_1",0
"250","T21_19","P2T3_C-F-_1",0
"251","T21_20","P2T3_C-F-_1",0
"252","T21_21","P2T3_C-F-_1",0
"253","T21_22","P2T3_C-F-_1",0
"254","T21_23","P2T3_C-F-_1",0
"255","T21_24","P2T3_C-F-_1",0
"256","T21_25","P2T3_C-F-_1",0
"257","T3_2","P2T3_WT_3",1
"258","T3_4","P2T3_WT_3",1
"259","T3_6","P2T3_WT_3",1
"260","T3_7","P2T3_WT_3",1
"261","T3_8","P2T3_WT_3",1
"262","T3_10","P2T3_WT_3",1
"263","T3_11","P2T3_WT_3",1
"264","T3_12","P2T3_WT_3",1
"265","T3_13","P2T3_WT_3",1
"266","T3_9","P2T3_WT_3",1
"267","T3_3","P2T3_WT_3",1
"268","T3_5","P2T3_WT_3",1
"269","T3_1","P2T3_WT_3",0
"270","T9_7","P2T3_WT_3",0
"271","T9_3","P2T3_WT_3",0
"272","T6_1","P2T3_WT_3",0
"273","T6_2","P2T3_WT_3",0
"274","T6_5","P2T3_WT_3",0
"275","T6_6","P2T3_WT_3",0
"276","T6_8","P2T3_WT_3",0
"277","T6_10","P2T3_WT_3",0
"278","T6_12","P2T3_WT_3",0
"279","T9_9","P2T3_WT_3",0
"280","T6_3","P2T3_WT_3",0
"281","T6_4","P2T3_WT_3",0
"282","T6_7","P2T3_WT_3",0
"283","T6_9","P2T3_WT_3",0
"284","T6_11","P2T3_WT_3",0
"285","T6_13","P2T3_WT_3",0
"286","T9_1","P2T3_WT_3",0
"287","T9_2","P2T3_WT_3",0
"288","T9_4","P2T3_WT_3",0
"289","T9_5","P2T3_WT_3",0
"290","T9_6","P2T3_WT_3",0
"291","T9_8","P2T3_WT_3",0
"292","T9_10","P2T3_WT_3",0
"293","T9_11","P2T3_WT_3",0
"294","T9_12","P2T3_WT_3",0
"295","T9_13","P2T3_WT_3",0
"296","T12_9","P2T3_WT_3",0
"297","T12_10","P2T3_WT_3",0
"298","T12_2","P2T3_WT_3",0
"299","T12_3","P2T3_WT_3",0
"300","T12_5","P2T3_WT_3",0
"301","T12_6","P2T3_WT_3",0
"302","T12_7","P2T3_WT_3",0
"303","T12_8","P2T3_WT_3",0
"304","T12_12","P2T3_WT_3",0
"305","T12_13","P2T3_WT_3",0
"306","T12_4","P2T3_WT_3",0
"307","T12_1","P2T3_WT_3",0
"308","T15_18","P2T3_WT_3",0
"309","T15_9","P2T3_WT_3",0
"310","T15_13","P2T3_WT_3",0
"311","T15_21","P2T3_WT_3",0
"312","T15_8","P2T3_WT_3",0
"313","T15_20","P2T3_WT_3",0
"314","T15_5","P2T3_WT_3",0
"315","T15_16","P2T3_WT_3",0
"316","T15_4","P2T3_WT_3",0
"317","T15_12","P2T3_WT_3",0
"318","T15_22","P2T3_WT_3",0
"319","T15_25","P2T3_WT_3",0
"320","T21_5","P2T3_WT_3",0
"321","T15_1","P2T3_WT_3",0
"322","T15_2","P2T3_WT_3",0
"323","T15_10","P2T3_WT_3",0
"324","T15_11","P2T3_WT_3",0
"325","T15_19","P2T3_WT_3",0
"326","T15_23","P2T3_WT_3",0
"327","T15_24","P2T3_WT_3",0
"328","T15_6","P2T3_WT_3",0
"329","T21_2","P2T3_WT_3",0
"330","T15_15","P2T3_WT_3",0
"331","T15_3","P2T3_WT_3",0
"332","T15_14","P2T3_WT_3",0
"333","T18_9","P2T3_WT_3",0
"334","T18_17","P2T3_WT_3",0
"335","T18_19","P2T3_WT_3",0
"336","T18_25","P2T3_WT_3",0
"337","T18_21","P2T3_WT_3",0
"338","T18_22","P2T3_WT_3",0
"339","T15_7","P2T3_WT_3",0
"340","T18_2","P2T3_WT_3",0
"341","T18_3","P2T3_WT_3",0
"342","T18_4","P2T3_WT_3",0
"343","T18_6","P2T3_WT_3",0
"344","T18_7","P2T3_WT_3",0
"345","T18_15","P2T3_WT_3",0
"346","T18_1","P2T3_WT_3",0
"347","T18_24","P2T3_WT_3",0
"348","T18_11","P2T3_WT_3",0
"349","T18_12","P2T3_WT_3",0
"350","T18_16","P2T3_WT_3",0
"351","T18_18","P2T3_WT_3",0
"352","T18_8","P2T3_WT_3",0
"353","T18_13","P2T3_WT_3",0
"354","T18_23","P2T3_WT_3",0
"355","T18_10","P2T3_WT_3",0
"356","T18_20","P2T3_WT_3",0
"357","T18_26","P2T3_WT_3",0
"358","T18_14","P2T3_WT_3",0
"359","T12_11","P2T3_WT_3",0
"360","T15_17","P2T3_WT_3",0
"361","T18_5","P2T3_WT_3",0
"362","T21_1","P2T3_WT_3",0
